,title,topic,pred_val,authors,journal,links,full_title,abstract,new_topic
169,rigidity controls human desmoplastic matrix anisotropy enable pancreatic cancer cell spread via extracellular signal regulated kinase 2,NEURAL,76.4% NEURAL; 13.5% CELLULAR/SUBCELLULAR; 1.5% COMPARATIVE,"Malik R, Luong T, Cao X, Han B, Shah N, Franco-Barraza J, Han L, Shenoy VB, Lelkes PI, Cukierman E,",*Matrix biology : journal of the International Society for Matrix Biology*,* [Rigidity controls human desmoplastic matrix anisotropy to enable pancreatic cancer cell spread via extracellular signal-regulated kinase 2.](https://www.ncbi.nlm.nih.gov/pubmed/30412725),Rigidity controls human desmoplastic matrix anisotropy to enable pancreatic cancer cell spread via extracellular signal-regulated kinase 2.,"It is predicted that pancreatic ductal adenocarcinoma (PDAC) will become the second most lethal cancer in the US by 2030. PDAC includes a fibrous-like stroma, desmoplasia, encompassing most of the tumor mass, which is produced by cancer-associated fibroblasts (CAFs) and includes their cell-derived extracellular matrices (CDMs). Since elimination of desmoplasia has proven detrimental to patients, CDM reprogramming, as opposed to stromal ablation, is therapeutically desirable. Hence, efforts are being made to harness desmoplasia's anti-tumor functions. We conducted biomechanical manipulations, using variations of pathological and physiological substrates in vitro, to culture patient-harvested CAFs and generate CDMs that restrict PDAC growth and spread. We posited that extrinsic modulation of the environment, via substrate rigidity, influences CAF's cell-intrinsic forces affecting CDM production. Substrates used were polyacrylamide gels of physiological (~1.5 kPa) or pathological (~7 kPa) stiffnesses. Results showed that physiological substrates influenced CAFs to generate CDMs similar to normal/control fibroblasts. We found CDMs to be softer than the corresponding underlying substrates, and CDM fiber anisotropy (i.e., alignment) to be biphasic and informed via substrate-imparted morphological CAF aspect ratios. The biphasic nature of CDM fiber anisotropy was mathematically modeled and proposed a correlation between CAF aspect ratios and CDM alignment; regulated by extrinsic and intrinsic forces to conserve minimal free energy. Biomechanical manipulation of CDMs, generated on physiologically soft substrates, leads to reduction in nuclear translocation of pERK1/2 in KRAS mutated pancreatic cells. ERK2 was found essential for CDM-regulated tumor cell spread. In vitro findings correlated with in vivo observations; nuclear pERK1/2 is significantly high in human PDAC samples. The study suggests that altering underlying substrates enable CAFs to remodel CDMs and restrict pancreatic cancer cell spread in an ERK2 dependent manner.",
170,activity shelter related behavior rhodnius prolixus role host odours,NEURAL,56.6% NEURAL; 9.0% VETERINARY/AGRICULTURAL; 7.7% METHODS,"Ferreira RA, Guarneri AA, Lorenzo MG,",*Acta tropica*,* [Activity and shelter-related behavior in Rhodnius prolixus: The role of host odours.](https://www.ncbi.nlm.nih.gov/pubmed/31116968),Activity and shelter-related behavior in Rhodnius prolixus: The role of host odours.,"Triatomine bugs are considered nocturnal insects that feed on the blood of vertebrates and remain hidden inside narrow shelters during daylight hours. Nevertheless, it is not clear whether these insects become active and leave their shelters on a daily basis, less frequently or, even fortnightly. Activity patterns were studied in Rhodnius prolixus Stål, 1859 (Hemiptera: Triatominae) associated with shelters to evaluate whether the decision to leave a shelter depends on bug starvation and the presence of host odours. Experiments were conducted with groups of 5th instar nymphs released in an experimental arena offering an artificial shelter consisting of a piece of corrugated cardboard positioned in its centre. Results indicate that host odours promoted a significant increase in shelter related activity, i.e. shelter-leaving or entering movements, and also in bug locomotion. This increase could only be observed with bugs starved for 30 or 60 days, but not for 21 days. Most R. prolixus nymphs that left shelters and engaged in locomotory activity were starved and in the presence of host odours. Even though R. prolixus is mostly considered a very active and ""aggressive"" triatomine, our results contradict this perspective and suggest that its main strategy regarding hosts is to wait and carefully evaluate feeding chances before becoming exposed. This behavioural strategy might have arisen through their evolution in palm trees in association with a diverse fauna that may impose predation risks.",
171,age related differences δ⁹ tetrahydrocannabinol induced antinociception female male rats,NEURAL,55.5% NEURAL; 6.0% CELLULAR/SUBCELLULAR; 5.6% VETERINARY/AGRICULTURAL,"Craft RM, Britch SC, Buzitis NW, Clowers BH,",*Experimental and clinical psychopharmacology*,* [Age-related differences in Δ⁹-tetrahydrocannabinol-induced antinociception in female and male rats.](https://www.ncbi.nlm.nih.gov/pubmed/31120286),Age-related differences in Δ⁹-tetrahydrocannabinol-induced antinociception in female and male rats.,"Given the use of cannabis as an analgesic by a broadening age range of patients, the aim of this study was to determine whether the antinociceptive effects of Δ9-tetrahydrocannabinol (THC) differ by age. The antinociceptive potency and efficacy of THC (1.0-18 mg/kg ip) was compared in male and female rats aged postnatal day 35-40 (adolescent), 60-70 (young adult), and 291-325 (middle-aged adult), using warm water tail withdrawal and paw pressure tests. Motoric effects of THC were assessed using a locomotor activity test. On the tail withdrawal test, THC was significantly more effective in middle-aged adult than in young adult rats and significantly less effective in adolescent than in young adult rats. Similar but smaller age-related differences were observed on the paw pressure test. Sex differences in THC's antinociceptive effects were consistent across the 3 ages examined, with greater THC effects observed in females than males of each age. Age-related differences in THC's locomotor-suppressing effect were also observed, with the greatest effect in young adult female rats. Serum THC levels were slightly higher in adolescent than in young adult rats, and levels of the active metabolites 11-OH-THC and cannabinol, as well as the inactive metabolite 11-nor-9-carboxy-THC, did not differ between adolescent and young adult rats. These results suggest that the pain-relieving effects of THC may be more limited in adolescents than in adults and that these age-related differences in THC effect are not attributable to differential absorption or metabolism of THC. (PsycINFO Database Record (c) 2019 APA, all rights reserved).",
172,selective trpv4 channel antagonist hc 067047 attenuates mechanical allodynia diabetic mice,NEURAL,75.2% NEURAL; 6.0% GAIT/LOCOMOTION; 5.6% COMPARATIVE,"Dias FC, Alves VS, Matias DO, Figueiredo CP, Miranda ALP, Passos GF, Costa R,",*European journal of pharmacology*,* [The selective TRPV4 channel antagonist HC-067047 attenuates mechanical allodynia in diabetic mice.](https://www.ncbi.nlm.nih.gov/pubmed/31129158),The selective TRPV4 channel antagonist HC-067047 attenuates mechanical allodynia in diabetic mice.,"Painful diabetic neuropathy (PDN) is a serious symptom that compromises quality of life and remains without effective pharmacological treatment. The transient receptor vanilloid 4 (TRPV4) is a cation-permeable channel implicated in sensory transduction and pain signalling. Therefore, drugs that act on TRPV4 may have therapeutic applications to treat PDN. In the present work, we assessed the effect of the selective TRPV4 channel antagonist HC-067047 on painful neuropathy associated with streptozotocin (STZ)-induced diabetes in mice. STZ-treated animals presented both mechanical and cold allodynia at 6 weeks after diabetes induction. Notably, HC-067047 (1 mg/kg, s.c.) given daily between 2 and 6 weeks after diabetes induction significantly prevented the development of mechanical allodynia. Additionally, both single and repeated treatments with HC-067047 (10 mg/kg, s.c.) significantly reverted established mechanical allodynia induced by STZ. However, HC-067047 was not capable of affecting either thermal cold allodynia or hyperglycemia. Similarly, HC-067047 treatments showed no effect on body weight, temperature, locomotor activity or motor coordination of control mice. Immunohistochemistry assay showed that TRPV4 expression was not different in sciatic nerve, dorsal root ganglia (DRG) or hind paw plantar skin from diabetic and non-diabetic mice, suggesting that HC-067047 acts on constitutive receptors to inhibit mechanical allodynia. Taken together, the data generated in the present study show the potential relevance of using TRPV4 antagonists to treat painful neuropathy associated with diabetes.",
173,anterior cruciate ligament injury mechanisms kinetic chain linkage effect proximal joint stiffness distal knee control bilateral landings,NEURAL,69.8% NEURAL; 6.7% CELLULAR/SUBCELLULAR; 3.3% VETERINARY/AGRICULTURAL,"Cannon J, Cambridge EDJ, McGill SM,",*The Journal of orthopaedic and sports physical therapy*,* [Anterior Cruciate Ligament Injury Mechanisms and the Kinetic Chain Linkage: The Effect of Proximal Joint Stiffness on Distal Knee Control During Bilateral Landings.](https://www.ncbi.nlm.nih.gov/pubmed/31130059),Anterior Cruciate Ligament Injury Mechanisms and the Kinetic Chain Linkage: The Effect of Proximal Joint Stiffness on Distal Knee Control During Bilateral Landings.,"Neuromuscular deficits at the trunk and hip may contribute to dynamic knee valgus and anterior cruciate ligament injury mechanisms. However, comprehensive examination of neuromuscular patterns and their mechanical influence is lacking.",
174,circadian entrainment food drugs abuse,NEURAL,98.2% NEURAL; 0.6% CELLULAR/SUBCELLULAR; 0.2% GAIT/LOCOMOTION,"Gillman AG, Rebec GV, Pecoraro NC, Kosobud AEK,",*Behavioural processes*,* [Circadian entrainment by food and drugs of abuse.](https://www.ncbi.nlm.nih.gov/pubmed/31132444),Circadian entrainment by food and drugs of abuse.,"Circadian rhythms organize behavior and physiological processes to be appropriate to the predictable cycle of daily events. These rhythms are entrained by stimuli that provide time of day cues (zeitgebers), such as light, which regulates the sleep-wake cycle and associated rhythms. But other events, including meals, social cues, and bouts of locomotor activity, can act as zeitgebers. Recent evidence shows that most organs and tissues contain cells that are capable of some degree of independent circadian cycling, suggesting the circadian system is broadly and diffusely distributed. Within laboratory studies of behavior, circadian rhythms tend to be treated as a complication to be minimized, but they offer a useful model of predictable shifts in behavioral tendencies. In the present review, we summarize the evidence that formed the basis for a hypothesis that drugs of abuse can entrain circadian rhythms and describe the outcome of a series of experiments designed to test that hypothesis. We propose that such drug-entrained rhythms may contribute to demonstrated daily variations in drug metabolism, tolerance, and sensitivity to drug reward. Of particular importance, these rhythms may be evoked by a single episode of drug taking, strengthen with repeated episodes, and re-emerge after long periods of abstinence, thereby contributing to drug abuse, addiction, and relapse.",
175,mitochondrial dysfunction based cardiotoxicity neurotoxicity induced pyraclostrobin zebrafish larvae,NEURAL,84.8% NEURAL; 10.1% CELLULAR/SUBCELLULAR; 1.1% COMPARATIVE,"Li H, Zhao F, Cao F, Teng M, Yang Y, Qiu L,","*Environmental pollution (Barking, Essex : 1987)*",* [Mitochondrial dysfunction-based cardiotoxicity and neurotoxicity induced by pyraclostrobin in zebrafish larvae.](https://www.ncbi.nlm.nih.gov/pubmed/31078959),Mitochondrial dysfunction-based cardiotoxicity and neurotoxicity induced by pyraclostrobin in zebrafish larvae.,"Pyraclostrobin is widely used to control crop diseases, and was reported to be highly toxic to aquatic organisms. The molecular target of pyraclostrobin to fungus is the mitochondrion, but its effect on mitochondria of aquatic organisms has rarely been investigated. In this study, zebrafish larvae at 4 days post fertilization (dpf) were exposed to a range of pyraclostrobin for 96 h to assess its acute toxicity and effects on mitochondria. Pyraclostrobin at 36 μg/L or higher concentrations caused significant influences on larval heart and brain including pericardial edema, brain damage malformations, histological and mitochondrial structural damage of the two organs. The results of RNA-Seq revealed that the transcripts of genes related to oxidative phosphorylation, cardiac muscle contraction, mitochondrion, nervous system development and glutamate receptor activity were significantly influenced by 36 μg/L pyraclostrobin. Further tests showed that pyraclostrobin at 18 and 36 μg/L reduced the concentrations of proteins related to cardiac muscle contraction, impaired cardiac function, inhibited glutamate receptors activities and suppressed locomotor behavior of zebrafish larvae. Negative changes in mitochondrial complex activities, as well as reduced ATP content were also observed in larvae treated with 18 and 36 μg/L pyraclostrobin. These results suggested that pyraclostrobin exposure caused cardiotoxicity and neurotoxicity in zebrafish larvae and mitochondrial dysfunction might be the underlying mechanism of pyraclostrobin toxicity.",
176,pregnancies alters spine number cortical subcortical limbic brain regions old rats,NEURAL,95.1% NEURAL; 1.1% REHABILITATION; 0.9% CELLULAR/SUBCELLULAR,"Flores-Vivaldo YM, Camacho-Abrego I, Picazo O, Flores G,","*Synapse (New York, N.Y.)*",* [Pregnancies alters spine number in cortical and subcortical limbic brain regions of old rats.](https://www.ncbi.nlm.nih.gov/pubmed/30958589),Pregnancies alters spine number in cortical and subcortical limbic brain regions of old rats.,"Pregnancy is a complex process, involving a number of hormones and trophic factors, many of which are formed in the placenta. Several of these trophic factors have an effect at the neuronal level, such as BDNF. Consequently, recent reports have shown that exposure to these hormones (estrogen and progesterone) and trophic factors such as BDNF exert a neuroprotective effect. Here, we study the effect of the number of pregnancies on dendritic morphology of aged female rats (18 months of age). Rats of the 18-month-old Sprague Dawley strain with zero, one, two, and three gestations were evaluated for locomotor activity, and Golgi-Cox stain was performed to evaluate the dendritic morphology parameters, the number of dendritic spines, total dendritic length, and branching order number. Adult nulliparous rats (3 months of age) were used as another control group. Adult nulliparous and aging rats with two pregnancies showed an increase in locomotor activity. Adult nulliparous showed an increase in the dendritic spine number compared to old nulliparous rats in both layers of the PFC, the DG, and NAcc. Old rats with two and three pregnancies also showed an increase in the number of dendritic spines compared to old nulliparous rats in layers 3 and 5 of the PFC and in the CA1. Aging animals with one pregnancy also showed an increase in dendritic length compared to old nulliparous rats in the CA1. Our results clearly suggest that two and three pregnancies increase the dendritic spines number in the PFC and CA1 of aged female rats.",
177,transdermal delivery fluvastatin loaded nanoemulsion gel preparation characterization vivo anti osteoporosis activity,NEURAL,94.6% NEURAL; 1.8% TISSUE/BIOMATERIAL; 0.9% CELLULAR/SUBCELLULAR,"Kaur R, Ajitha M,",*European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences*,"* [Transdermal delivery of fluvastatin loaded nanoemulsion gel: Preparation, characterization and in vivo anti-osteoporosis activity.](https://www.ncbi.nlm.nih.gov/pubmed/31202895)","Transdermal delivery of fluvastatin loaded nanoemulsion gel: Preparation, characterization and in vivo anti-osteoporosis activity.","The objective of present study was to develop hydrogel based nanoemulsion (NE) drug delivery system for transdermal delivery and evaluate its potential in in vivo anti-osteoporotic activity. NE was prepared using aqueous phase titration method and characterized for droplet size, zeta potential and morphology. It was then formulated into hydrogel based NE gel using carbopol 940 as gelling agent. NE gel was evaluated for pH, viscosity, in vitro/ex vivo permeation studies and in vivo anti-osteoporotic activity. The results indicated formation of spherical, nano sized globules of NE ranging from 11.17 ± 0.24 to 128.8 ± 0.16 nm with polydispersity of <0.5. In vitro and ex vivo permeation studies showed significantly higher permeation of NE as well as NE gel in comparison to fluvastatin solution indicating that NE gel can effectively penetrate through skin layers. In vivo anti-osteoporotic results demonstrated formation of new bone in trabecular region of osteoporotic rat femurs through micro-CT scanning radiographs. Biomechanical strength testing demonstrated greater load bearing capacity of rat femurs in the treated animals in comparison with the osteoporotic group. Thus, developed NE gel formulation of fluvastatin demonstrated greater potential for transdermal delivery and in the treatment of osteoporosis.",
178,agomelatine tianeptine antidepressant activity mice behavioral despair tests enhanced dmpx selective adenosine sub 2a sub receptor antagonist dpcpx selective adenosine sub 1 sub receptor antagonist,NEURAL,92.2% NEURAL; 2.6% GAIT/LOCOMOTION; 1.0% COMPARATIVE,"Szopa A, Bogatko K, Serefko A, Wyska E, Wośko S, Świąder K, Doboszewska U, Wlaź A, Wróbel A, Wlaź P, Dudka J, Poleszak E,",*Pharmacological reports : PR*,"* [Agomelatine and tianeptine antidepressant activity in mice behavioral despair tests is enhanced by DMPX, a selective adenosine A<sub>2A</sub> receptor antagonist, but not DPCPX, a selective adenosine A<sub>1</sub> receptor antagonist.](https://www.ncbi.nlm.nih.gov/pubmed/31200233)","Agomelatine and tianeptine antidepressant activity in mice behavioral despair tests is enhanced by DMPX, a selective adenosine A<sub>2A</sub> receptor antagonist, but not DPCPX, a selective adenosine A<sub>1</sub> receptor antagonist.","Adenosine, an endogenous nucleoside, modulates the release of monoamines, e.g., noradrenaline, serotonin, and dopamine in the brain. Both nonselective and selective stimulation of adenosine receptors produce symptoms of depression in some animal models. Therefore, the main objective of our study was to assess the influence of a selective adenosine A<sub>1</sub> receptor antagonist (DPCPX) and a selective adenosine A<sub>2A</sub> receptor antagonist (DMPX) on the activity of agomelatine and tianeptine.",
179,phosphorylation cry1 serine 71 alters voluntary activity circadian rhythms vivo,NEURAL,49.9% NEURAL; 31.1% CELLULAR/SUBCELLULAR; 3.0% METHODS,"Vaughan M, Jordan SD, Duglan D, Chan AB, Afetian M, Lamia KA,",*Journal of biological rhythms*,* [Phosphorylation of CRY1 Serine 71 Alters Voluntary Activity but Not Circadian Rhythms In Vivo.](https://www.ncbi.nlm.nih.gov/pubmed/31258021),Phosphorylation of CRY1 Serine 71 Alters Voluntary Activity but Not Circadian Rhythms In Vivo.,"Circadian clocks allow organisms to anticipate repetitive changes in their environment such as food availability, temperature, and predation. While they most clearly manifest at the behavioral level, driving sleep-wake cycles, for example, they also provide critical temporal regulation at the level of individual tissues. Circadian clocks within organs act to ensure that each tissue is functioning in a coordinated manner to anticipate the needs of the organism as a whole but also allow for adaptation of organs to their local environment. One critical aspect of this environment is energy availability, which is communicated at the cellular level via changes in metabolites such as ATP, calcium, and NADH. AMP-activated protein kinase (AMPK) is both sensitive to fluctuations in secondary metabolites and capable of resetting the circadian clock via destabilization of the core clock components CRY and PER. Phosphorylation of serine 71 of CRY1 by AMPK destabilizes CRY1 by decreasing its interaction with binding partner PER2, thus enabling greater association with the SCF complex substrate adaptor FBXL3. Here, we describe a transgenic mouse harboring germline mutation of CRY1 serine 71 to alanine. Unexpectedly, this mutation does not affect the steady-state level of CRY1 protein in mouse livers or quadriceps. We also did not detect changes in either behavioral or molecular circadian rhythms, but female <i>Cry1</i><sup>S71A</sup> mice exhibit decreased voluntary locomotor activity compared with wild-type littermates. Together, these findings suggest that phosphorylation of CRY1 serine 71 is not required for the regulation of circadian rhythms under normal physiological conditions. However, it may be involved in responding to metabolic challenges or in other aspects of physiology that contribute to voluntary activity levels.",
180,zinc improves clomipramine effects depressive locomotor behavior reverses oxidative stress rats,NEURAL,40.5% NEURAL; 10.3% REHABILITATION; 6.9% VETERINARY/AGRICULTURAL,"Othman H, Ammari M, Lassoued A, Sakly M, Abdelmelek H,",*Behavioural brain research*,* [Zinc improves clomipramine effects on depressive and locomotor behavior and reverses its oxidative stress in rats.](https://www.ncbi.nlm.nih.gov/pubmed/31376442),Zinc improves clomipramine effects on depressive and locomotor behavior and reverses its oxidative stress in rats.,"Depression is a common mental disease affecting a lot of people of all ages around the world. Today, improving the therapeutic effects of currently used antidepressants such as clomipramine and, especially when they are administered at high doses is a topic of interest. The study aims to evaluate the eventual role of zinc (30 mg/Kg) in ameliorating clomipramine (75 mg/Kg) effects on behavior and oxidative stress equilibrium following a 6 day treatment in male Wistar rats. Our main findings showed that zinc improved clomipramine antidepressant and locomotor effects. Moreover, zinc reversed the oxidative stress induced by this drug in the liver. Thus, zinc at 30 mg/Kg may constitute an efficient adjuvant for clomipramine used at a high dose (75 mg/Kg) by boosting its efficacy on behavior and alleviating its negative effects on oxidative balance in liver.",
181,zona incerta therapeutic target parkinson disease,NEURAL,94.8% NEURAL; 1.7% REHABILITATION; 1.1% GAIT/LOCOMOTION,"Ossowska K,",*Journal of neurology*,* [Zona incerta as a therapeutic target in Parkinson's disease.](https://www.ncbi.nlm.nih.gov/pubmed/31375987),Zona incerta as a therapeutic target in Parkinson's disease.,"The zona incerta has recently become an important target for deep-brain stimulation (DBS) in Parkinson's disease (PD). The present review summarizes clinical, animal and anatomical data which have indicated an important role of this structure in PD, and discusses potential mechanisms involved in therapeutic effects of DBS. Animal studies have suggested initially some role of neurons as well as GABAergic and glutamatergic receptors of the zona incerta in locomotion and generation of PD signs. Anatomical data have indicated that thanks to its multiple interconnections with the basal ganglia, thalamus, cerebral cortex, brainstem, spinal cord and cerebellum, the zona incerta is an important link in a neuronal chain transmitting impulses involved in PD pathology. Finally, clinical studies have shown that DBS of this structure alleviates parkinsonian bradykinesia, muscle rigidity and tremor. DBS of caudal zona incerta seemed to be the most effective therapeutic intervention, especially with regard to reduction of PD tremor as well as other forms of tremor.",
182,sensitivity negative positive feedback stable enduring behavioural trait rats,NEURAL,18.9% NEURAL; 15.0% COMPARATIVE; 9.8% GAIT/LOCOMOTION,"Noworyta-Sokolowska K, Kozub A, Jablonska J, Parkitna JR, Drozd R, Rygula R,",*Psychopharmacology*,* [Sensitivity to negative and positive feedback as a stable and enduring behavioural trait in rats.](https://www.ncbi.nlm.nih.gov/pubmed/31375849),Sensitivity to negative and positive feedback as a stable and enduring behavioural trait in rats.,"According to psychological theories, cognitive distortions play a pivotal role in the aetiology and recurrence of mood disorders. Although clinical evidence for the coexistence of depression and altered sensitivity to performance feedback is relatively coherent, we still do not know whether increased or decreased sensitivity to positive or negative feedback is associated with 'pro-depressive' profile in healthy subjects.",
183,regional changes ∆fosb expression rat brain following mdma self administration predict sensitivity effects locally infused mdma,NEURAL,67.0% NEURAL; 9.1% CELLULAR/SUBCELLULAR; 3.5% TISSUE/BIOMATERIAL,"van de Wetering R, Schenk S,",*Addiction biology*,* [Regional changes in ∆FosB expression in rat brain following MDMA self-administration predict increased sensitivity to effects of locally infused MDMA.](https://www.ncbi.nlm.nih.gov/pubmed/31373119),Regional changes in ∆FosB expression in rat brain following MDMA self-administration predict increased sensitivity to effects of locally infused MDMA.,"Repeated exposure to drugs produces a plethora of persistent brain changes, some of which underlie the development of drug addiction. An important objective of addiction research is to identify the brain changes that might mediate the transition from drug use to drug misuse. The persistent accumulation of the transcription factor, ∆FosB, following repeated drug exposure provides a means of achieving this objective. Experiments were conducted on sexually mature male Sprague-Dawley rats. The effects of extensive 3,4-methylenedioxymethamphetamine (MDMA) self-administration on immunohistochemical measurements of ∆FosB accumulation in 12 brain regions was compared with a matched, drug-naive, control group. Other groups were pretreated with MDMA (0.0 or 10.0 mg/kg, ip, once daily for 5 days), and the locomotor-activating effect of MDMA (200 μg/side) microinjected bilaterally into brain regions selected on the basis of the ∆FosB results was subsequently determined. MDMA self-administration significantly increased ∆FosB expression in the nucleus accumbens core, ventromedial and dorsomedial caudate-putamen, anterior cingulate, prelimbic, infralimbic, and orbitofrontal cortex, and both the central and basolateral amygdala, but not in the ventrolateral or dorsolateral caudate-putamen. Increases in the nucleus accumbens shell were substantial but were not significant following statistical correction for multiple comparisons. MDMA pretreatment enhanced MDMA-produced hyperactivity only when administered into the nucleus accumbens or the medial, but not the lateral, caudate-putamen, mirroring the ∆FosB results. These data compare favorably to results following repeated exposure to other drugs of abuse and support the idea of common neuroplastic changes following repeated drug exposure.",
184,epidemiology video analysis achilles tendon ruptures national basketball association,NEURAL,71.8% NEURAL; 12.8% TISSUE/BIOMATERIAL; 4.8% CELLULAR/SUBCELLULAR,"Lemme NJ, Li NY, Kleiner JE, Tan S, DeFroda SF, Owens BD,",*The American journal of sports medicine*,* [Epidemiology and Video Analysis of Achilles Tendon Ruptures in the National Basketball Association.](https://www.ncbi.nlm.nih.gov/pubmed/31268773),Epidemiology and Video Analysis of Achilles Tendon Ruptures in the National Basketball Association.,There is a paucity of literature regarding risk factors and mechanisms of Achilles tendon (AT) ruptures in the National Basketball Association (NBA).,
185,dopamine d1 receptor antagonist reduces stimulant induced conditioned place preferences dopamine receptor supersensitivity,NEURAL,92.6% NEURAL; 1.2% CELLULAR/SUBCELLULAR; 1.1% COMPARATIVE,"Gu SM, Cha HJ, Seo SW, Hong JT, Yun J,",*Naunyn-Schmiedeberg's archives of pharmacology*,* [Dopamine D1 receptor antagonist reduces stimulant-induced conditioned place preferences and dopamine receptor supersensitivity.](https://www.ncbi.nlm.nih.gov/pubmed/31372696),Dopamine D1 receptor antagonist reduces stimulant-induced conditioned place preferences and dopamine receptor supersensitivity.,"Repeated administration of stimulants induces conditioned place preference (CPP). Dopamine receptor supersensitivity is developed in stimulant-induced CPP animals; however, dopamine receptor subtypes associated with the development of supersensitivity in CPP animals are largely unknown. The present preclinical study aimed to examine whether dopamine D1 or D2 receptor antagonists exert inhibitory effects on stimulant-induced psychological behaviors. Additionally, the authors aimed to elucidate the role of dopamine receptor supersensitivity on the development of reward-related behavior. Sprague Dawley rats subjected to methamphetamine- and cocaine-induced CPP tests were treated with dopamine D1 (SCH23390) or D2 (sulpiride) receptor antagonists. Following the CPP experiment, rats were challenged with apomorphine (dopamine receptor agonist), and locomotor activity was measured. Methamphetamine- and cocaine-induced CPP was reduced with the administration of SCH23390, but not sulpiride. In addition, the apomorphine challenge evoked an increase in locomotor activity in stimulant-pre-treated rats, reflecting dopamine receptor supersensitivity. SCH23390 pre-treatment inhibited the development of dopamine receptor supersensitivity, while sulpiride demonstrated no inhibitory effects. These results suggest that the dopamine D1 receptor antagonist SCH23390 inhibits the development of dopamine receptor supersensitivity which is associated with the development of CPP.",
186,dual active histamine h3 receptor antagonist acetylcholine esterase inhibitor e100 ameliorates stereotyped repetitive behavior neuroinflammation sodium valproate induced autism mice,NEURAL,82.4% NEURAL; 5.8% CELLULAR/SUBCELLULAR; 1.8% TISSUE/BIOMATERIAL,"Eissa N, Azimullah S, Jayaprakash P, Jayaraj RL, Reiner D, Ojha SK, Beiram R, Stark H, Łażewska D, Kieć-Kononowicz K, Sadek B,",*Chemico-biological interactions*,* [The dual-active histamine H3 receptor antagonist and acetylcholine esterase inhibitor E100 ameliorates stereotyped repetitive behavior and neuroinflammation in sodium valproate induced autism in mice.](https://www.ncbi.nlm.nih.gov/pubmed/31369746),The dual-active histamine H3 receptor antagonist and acetylcholine esterase inhibitor E100 ameliorates stereotyped repetitive behavior and neuroinflammation in sodium valproate induced autism in mice.,"Postnatal exposure to valproic acid (VPA) in rodents induces autism-like neurobehavioral defects which are comparable to the motor and cognitive deficits observed in humans with autism spectrum disorder (ASD). Histamine H3 receptor (H3R) and acetylcholine esterase (AChE) are involved in several cognitive disorders such as Alzheimer's disease, schizophrenia, anxiety, and narcolepsy, all of which are comorbid with ASD. Therefore, the present study aimed at evaluating effect of the novel dual-active ligand E100 with high H3R antagonist affinity and balanced AChE inhibition on autistic-like repetitive behavior, anxiety parameters, locomotor activity, and neuroinflammation in a mouse model of VPA-induced ASD in C57BL/6 mice. E100 (5, 10, and 15 mg/kg) dose-dependently and significantly ameliorated repetitive and compulsive behaviors by reducing the increased percentages of nestlets shredded (all P < 0.05). Moreover, pretreatment with E100 (10 and 15 mg/kg) attenuated disturbed anxiety levels (P < 0.05) but failed to restore the hyperactivity observed in the elevated open field test. Furthermore, pretreatment with E100 (10 mg/kg) mitigated the increase in the levels of proinflammatory cytokines and expression of NF-κB, iNOS, and COX-2 in the cerebellum as well as the hippocampus (all P < 0.05). These results demonstrate the ameliorative effects of E100 on repetitive compulsive behaviors in a mouse model of ASD. To our knowledge, this is the first in vivo demonstration of the effectiveness of a potent dual-active H3R antagonist and AChE inhibitor against autistic-like repetitive compulsive behaviors and neuroinflammation, and provides evidence for the role of such compounds in treating ASD.",
187,n methyl aspartate receptor antagonist methadone acutely improves depressive like behavior forced swim test performance rats,NEURAL,78.6% NEURAL; 3.8% COMPARATIVE; 3.1% REHABILITATION,"Hanania T, Manfredi P, Inturrisi C, Vitolo OV,",*Experimental and clinical psychopharmacology*,* [The N-methyl-D-aspartate receptor antagonist d-methadone acutely improves depressive-like behavior in the forced swim test performance of rats.](https://www.ncbi.nlm.nih.gov/pubmed/31368772),The N-methyl-D-aspartate receptor antagonist d-methadone acutely improves depressive-like behavior in the forced swim test performance of rats.,"d-Methadone (dextromethadone) is a noncompetitive N-methyl-D-aspartate receptor (NMDAR) antagonist that binds to the dizocilpine (MK-801)-binding site of the receptor with an affinity comparable with that of well-established NMDAR antagonists. Considering the similar NMDAR activity of ketamine and d-methadone and the rapid and robust antidepressant effects of ketamine, we compared these 2 drugs in the forced swim test in Sprague-Dawley rats, which has been shown to be predictive of antidepressant activity for drugs with different mechanisms of action including ketamine. This study evaluated the antidepressant-like effect of d-methadone (10, 20, and 40 mg/kg) in the forced swim test 24 hr following a single-dose administration. At all doses, d-methadone significantly (p < .05) decreased immobility of rats compared with vehicle, suggesting antidepressant-like activity. In addition, the effect of d-methadone (20 and 40 mg/kg) on immobility was greater than the effect seen with ketamine (10 mg/kg). Importantly, there were no changes in locomotor activity of rats that could have confounded the immobility effects at all doses (10, 20, and 40 mg/kg) of d-methadone. This is the first demonstration that the NMDAR antagonist, d-methadone, exerts antidepressant-like activity in a preclinical animal model and that its efficacy is similar to or even stronger than that of ketamine, an antidepressant that demonstrates a rapid onset activity and robust efficacy in patients with treatment-resistant depression. d-Methadone is currently being evaluated in a Phase 2a clinical study for patients with treatment-resistant depression and could potentially represent a new effective antidepressant in the growing class of NMDAR antagonists. (PsycINFO Database Record (c) 2019 APA, all rights reserved).",
