title,topic,authors,journal,links
training rugby athletes with an external attentional focus promotes more automatic adaptions in landing forces.,SPORT/EXERCISE,"Widenhoefer TL, Miller TM, Weigand MS, Watkins EA, Almonroeder TG,",*Sports biomechanics*,* [Training rugby athletes with an external attentional focus promotes more automatic adaptions in landing forces.](https://www.ncbi.nlm.nih.gov/pubmed/31042140)
efficacy of combining prp and mmp inhibitors in treating moderately damaged tendons ex vivo.,TENDON/LIGAMENT,"Jafari L, Hassanisaber H, Savard M, Gobeil F, Langelier E,",*Journal of orthopaedic research : official publication of the Orthopaedic Research Society*,* [Efficacy of combining PRP and MMP inhibitors in treating moderately damaged tendons ex vivo.](https://www.ncbi.nlm.nih.gov/pubmed/31042324)
nonanatomic versus anatomic techniques in spring ligament reconstruction: biomechanical assessment via a finite element model.,TENDON/LIGAMENT,"Xu C, Li MQ, Wang C, Liu H,",*Journal of orthopaedic surgery and research*,* [Nonanatomic versus anatomic techniques in spring ligament reconstruction: biomechanical assessment via a finite element model.](https://www.ncbi.nlm.nih.gov/pubmed/31036018)
fibroblast growth factor 2 enhances tendon-to-bone healing in a rat rotator cuff repair of chronic tears.,TENDON/LIGAMENT,"Yonemitsu R, Tokunaga T, Shukunami C, Ideo K, Arimura H, Karasugi T, Nakamura E, Ide J, Hiraki Y, Mizuta H,",*The American journal of sports medicine*,* [Fibroblast Growth Factor 2 Enhances Tendon-to-Bone Healing in a Rat Rotator Cuff Repair of Chronic Tears.](https://www.ncbi.nlm.nih.gov/pubmed/31038985)
biomechanical comparison of four prosthetic ligament repair techniques for tarsal medial collateral ligament injury in dogs.,TENDON/LIGAMENT,"Martin Y, Johnson MD, Travers CJ, Colee J, McConkey MJ, Banks SA,",*American journal of veterinary research*,* [Biomechanical comparison of four prosthetic ligament repair techniques for tarsal medial collateral ligament injury in dogs.](https://www.ncbi.nlm.nih.gov/pubmed/31034275)
patellar and hamstring autografts are associated with different jump task loading asymmetries after acl reconstruction.,TENDON/LIGAMENT,"Miles JJ, King E, Falvey ÉC, Daniels KAJ,",*Scandinavian journal of medicine & science in sports*,* [Patellar and hamstring autografts are associated with different jump task loading asymmetries after ACL reconstruction.](https://www.ncbi.nlm.nih.gov/pubmed/31034636)
dorsal extrinsic ligament injury and static scapholunate diastasis on magnetic resonance imaging scans.,TENDON/LIGAMENT,"Özkan S, Kheterpal A, Palmer WE, Chen NC,",*The Journal of hand surgery*,* [Dorsal Extrinsic Ligament Injury and Static Scapholunate Diastasis on Magnetic Resonance Imaging Scans.](https://www.ncbi.nlm.nih.gov/pubmed/31047744)
mechanical and morphological description of human acellular dura mater as a scaffold for surgical reconstruction.,TISSUE/BIOMATERIAL,"J Z, B O, M S, G ST, N H,",*Journal of the mechanical behavior of biomedical materials*,* [Mechanical and morphological description of human acellular dura mater as a scaffold for surgical reconstruction.](https://www.ncbi.nlm.nih.gov/pubmed/31029993)
non-contact tonometry using corvis st: analysis of corneal vibrations and their relation with intraocular pressure.,TISSUE/BIOMATERIAL,"Boszczyk A, Kasprzak H, Siedlecki D,","*Journal of the Optical Society of America. A, Optics, image science, and vision*",* [Non-contact tonometry using Corvis ST: analysis of corneal vibrations and their relation with intraocular pressure.](https://www.ncbi.nlm.nih.gov/pubmed/31044952)
diaphragm contractile weakness due to altered mechanical loading: role of titin.,TISSUE/BIOMATERIAL,"van der Pijl RJ, Granzier H, Ottenheijm CAC,",*American journal of physiology. Cell physiology*,* [Diaphragm contractile weakness due to altered mechanical loading: role of titin.](https://www.ncbi.nlm.nih.gov/pubmed/31042425)
evaluation of decellularization protocols for production of porcine small intestine submucosa for use in abdominal wall reconstruction.,TISSUE/BIOMATERIAL,"Chai Y, Xu J, Zhang Y, Zhang J, Hu Z, Zhou H,",*Hernia : the journal of hernias and abdominal wall surgery*,* [Evaluation of decellularization protocols for production of porcine small intestine submucosa for use in abdominal wall reconstruction.](https://www.ncbi.nlm.nih.gov/pubmed/31041557)
fty720 attenuates iron deposition and glial responses in improving delayed lesion and long-term outcomes of collagenase-induced intracerebral hemorrhage.,TISSUE/BIOMATERIAL,"Yang Z, Dong S, Zheng Q, Zhang L, Tan X, Zou J, Yan B, Chen Y,",*Brain research*,* [FTY720 attenuates iron deposition and glial responses in improving delayed lesion and long-term outcomes of collagenase-induced intracerebral hemorrhage.](https://www.ncbi.nlm.nih.gov/pubmed/31039342)
"antidepressant and anxiolytic efficacy of single, chronic and concomitant use of vortioxetine, dapoxetine and fluoxetine in prenatally stressed rats.",TISSUE/BIOMATERIAL,"Ratajczak PK, Kus K, Zaprutko T, Szczepański M, Nowakowska E,",*Acta neurobiologiae experimentalis*,"* [Antidepressant and anxiolytic efficacy of single, chronic and concomitant use of vortioxetine, dapoxetine and fluoxetine in prenatally stressed rats.](https://www.ncbi.nlm.nih.gov/pubmed/31038482)"
optic nerve head damage relation to intracranial pressure and corneal properties of eye in glaucoma risk assessment.,TISSUE/BIOMATERIAL,"Kharmyssov C, Abdildin YG, Kostas KV,",*Medical & biological engineering & computing*,* [Optic nerve head damage relation to intracranial pressure and corneal properties of eye in glaucoma risk assessment.](https://www.ncbi.nlm.nih.gov/pubmed/31028605)
evidence of biomechanical and collagen heterogeneity in uterine fibroids.,TISSUE/BIOMATERIAL,"Jayes FL, Liu B, Feng L, Aviles-Espinoza N, Leikin S, Leppert PC,",*PloS one*,* [Evidence of biomechanical and collagen heterogeneity in uterine fibroids.](https://www.ncbi.nlm.nih.gov/pubmed/31034494)
bioengineered analog of stromal cell-derived factor 1α preserves the biaxial mechanical properties of native myocardium after infarction.,TISSUE/BIOMATERIAL,"Wang H, Wisneski A, Paulsen MJ, Imbrie-Moore A, Wang Z, Xuan Y, Hernandez HL, Lucian HJ, Eskandari A, Thakore AD, Farry JM, Hironaka CE, von Bornstaedt D, Steele AN, Stapleton LM, Williams KM, Wu MA, MacArthur JW, Woo YJ,",*Journal of the mechanical behavior of biomedical materials*,* [Bioengineered analog of stromal cell-derived factor 1α preserves the biaxial mechanical properties of native myocardium after infarction.](https://www.ncbi.nlm.nih.gov/pubmed/31035067)
biostable glass fibre-reinforced dimethacrylate-based composites as potential candidates for fracture fixation plates in toy-breed dogs: mechanical testing and finite element analysis.,VETERINARY/AGRICULTURAL,"Liesmäki O, Plyusnin A, Kulkova J, Lassila LVJ, Vallittu PK, Moritz N,",*Journal of the mechanical behavior of biomedical materials*,* [Biostable glass fibre-reinforced dimethacrylate-based composites as potential candidates for fracture fixation plates in toy-breed dogs: Mechanical testing and finite element analysis.](https://www.ncbi.nlm.nih.gov/pubmed/31048259)
"comparison of antidepressant and side effects in mice after intranasal administration of (r,s)-ketamine, (r)-ketamine, and (s)-ketamine.",VETERINARY/AGRICULTURAL,"Chang L, Zhang K, Pu Y, Qu Y, Wang SM, Xiong Z, Ren Q, Dong C, Fujita Y, Hashimoto K,","*Pharmacology, biochemistry, and behavior*","* [Comparison of antidepressant and side effects in mice after intranasal administration of (R,S)-ketamine, (R)-ketamine, and (S)-ketamine.](https://www.ncbi.nlm.nih.gov/pubmed/31034852)"
"routine herd health data as cow-based risk factors associated with lameness in pasture-based, spring calving irish dairy cows.",VETERINARY/AGRICULTURAL,"Somers JR, Huxley JN, Doherty ML, O'Grady LE,",*Animals : an open access journal from MDPI*,"* [Routine Herd Health Data as Cow-Based Risk Factors Associated with Lameness in Pasture-Based, Spring Calving Irish Dairy Cows.](https://www.ncbi.nlm.nih.gov/pubmed/31035714)"
